date,topic,speaker,location,time
9/8/2025,PAgis,Faith Mullins and James Holley,UALR Downtown 333 President Clinton Avenue,12:00 PM
9/15/2025,Arkansas NEBB 2025,Tom Hanlon,UALR Downtown 333 President Clinton Avenue,12:00 PM
9/22/2025,FEMA Floodplains,Natalie Rogers,UALR Downtown 333 President Clinton Avenue,12:00 PM
9/29/2025,AGFC Update,Trey Reid,UALR Downtown 333 President Clinton Avenue,12:00 PM
10/6/2025,Port of Little Rock Update,Bryan Day,UALR Downtown 333 President Clinton Avenue,12:00 PM
10/20/2025,Development of a Masterplan for Jackson MS Water System,Jessica Hart,UALR Downtown 333 President Clinton Avenue,12:00 PM
